clean_name,singer_id,technique,atlas_group,gt_lyrics,asr_hypothesis
EN-Tenor-1__vibrato__control__0006,EN-Tenor-1,vibrato,control,hold me like i'm more than just a friend <AP>,hold me like i'm more than just a friend
EN-Tenor-1__vibrato__control__0001,EN-Tenor-1,vibrato,control,they've all been said before you know <AP> so why don't we <AP>,they've all been said before you know so why don't we
EN-Tenor-1__vibrato__control__0000,EN-Tenor-1,vibrato,control,<SP> i will leave <SP> my heart at the door <AP> i won't say a word <AP>,i will leave my heart at the door i won't say a word
EN-Tenor-1__vibrato__control__0007,EN-Tenor-1,vibrato,control,give me a memory i can use <AP>,give me a memory i can use
EN-Tenor-1__vibrato__control__0004,EN-Tenor-1,vibrato,control,<SP> all i ask <AP> is if <AP>,all i ask is easy
EN-Tenor-1__vibrato__control__0008,EN-Tenor-1,vibrato,control,take me by the hand while we do what lovers do <AP> it matters how this ends,take me by the hand while we do what lovers do it matters how this ends
EN-Tenor-1__vibrato__control__0003,EN-Tenor-1,vibrato,control,or scared of having <AP> nothing left look don't <AP> get me wrong i know <AP> there is no tomorrow <SP>,i'm scared of having nothing left look don't get me wrong i know there is no tomorrow
EN-Tenor-1__vibrato__control__0002,EN-Tenor-1,vibrato,control,just play pretend <AP> like we're not scared of what is coming next <AP>,just play pretend like we're not scared the world is coming next
EN-Tenor-1__vibrato__control__0005,EN-Tenor-1,vibrato,control,this is my last night with you <AP>,this is my last night with you
EN-Tenor-1__vibrato__control__0006,EN-Tenor-1,vibrato,control,hold me like i'm more than just a friend <AP>,hold me like i'm more than just a friend
EN-Tenor-1__vibrato__control__0001,EN-Tenor-1,vibrato,control,they've all been said before you know <AP> so why don't we <AP>,they've all been said before you know so why don't we
EN-Tenor-1__vibrato__control__0009,EN-Tenor-1,vibrato,control,trouble trouble trouble <AP> and the saddest fear <AP>,trouble trouble trouble in the saddest fear
EN-Tenor-1__vibrato__control__0000,EN-Tenor-1,vibrato,control,<SP> i will leave <SP> my heart at the door <AP> i won't say a word <AP>,i will leave my heart at the door i won't say a word
EN-Tenor-1__vibrato__control__0007,EN-Tenor-1,vibrato,control,give me a memory i can use <AP>,give me a memory i can use
EN-Tenor-1__vibrato__control__0004,EN-Tenor-1,vibrato,control,<SP> all i ask <AP> is if <AP>,all i ask is easy
