clean_name,singer_id,technique,group,gt_lyrics,asr_hypothesis,wer,per
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,i know you will i know you will i know that you will will you still love me,i know you well i know you well i know that you w well you still on me,0.2777777777777778,0.2926829268292683
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,will you still love me when i got nothing but my aching soul,well you still lone me wen i got nothing ba my egging so,0.46153846153846156,0.21052631578947367
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,when i'm no longer beautiful,o wen i'm no longer beo da fo,1.0,0.35
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,will you still love me when i'm no longer young and beautiful,well you still lone me when i'm a longer yarn an beu a fo,0.6666666666666666,0.35
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,the crazy days city lights the way you'd play with me like a child,the crazy days see the igt the way you play with me like a child,0.2857142857142857,0.1951219512195122
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,diamonds brilliant and bel air now,dy a mn's brelyant am ber no,1.1666666666666667,0.48
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,hot summer nights mid july when you and i were forever wild,o sommern aeat me julye well you and i were fo ever i,0.75,0.39473684210526316
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,i've seen the world done it all had my cake now,of sin the o down a do hem my cake now,0.6363636363636364,0.4642857142857143
EN-Tenor-1__mixed_falsetto__control__0006,EN-Tenor-1,mixed_falsetto,control,i know you will i know you will i know that you will will you still love me,i know you well i know you well i know that you well were you still low me,0.2777777777777778,0.17073170731707318
EN-Tenor-1__mixed_falsetto__control__0005,EN-Tenor-1,mixed_falsetto,control,will you still love me when i got nothing but my aching soul,well you' still lone me wen i can nothing ba my aching so,0.46153846153846156,0.23684210526315788
EN-Tenor-1__mixed_falsetto__control__0007,EN-Tenor-1,mixed_falsetto,control,when i'm no longer beautiful,when i'm no longer beut a f,0.6,0.15
EN-Tenor-1__mixed_falsetto__control__0004,EN-Tenor-1,mixed_falsetto,control,will you still love me when i'm no longer young and beautiful,well you' still lone me wan i'm to loneger yan beauta fo,0.6666666666666666,0.425
EN-Tenor-1__mixed_falsetto__control__0003,EN-Tenor-1,mixed_falsetto,control,the crazy days city lights the way you'd play with me like a child,the crazy days see dylat the way you play with me like a child,0.21428571428571427,0.17073170731707318
EN-Tenor-1__mixed_falsetto__control__0001,EN-Tenor-1,mixed_falsetto,control,diamonds brilliant and bel air now,tim and freely and em belaiir now,0.8333333333333334,0.48
EN-Tenor-1__mixed_falsetto__control__0002,EN-Tenor-1,mixed_falsetto,control,hot summer nights mid july when you and i were forever wild,o summer night me juli when you end i wet for ever li,0.75,0.42105263157894735
