uttid,gt_text,asr_hypothesis
libri_00000,concord returned to its place amidst the tents,concord returned to its place amidst the tents
libri_00001,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day
libri_00002,congratulations were poured in upon the princess everywhere during her journey,congratulations were poured in upon the princess everywhere during her journey
libri_00003,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,from the respect paide her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france
libri_00004,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them
libri_00005,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs
libri_00006,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,this has indeed been a harassing day continued the young man his eyes fixed upon his friend
libri_00007,you will be frank with me i always am,you will be frank with me i always am
libri_00008,can you imagine why buckingham has been so violent i suspect,can you imagine why buckingham has been so violent i suspect
libri_00009,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day
libri_00010,i can perceive love clearly enough,i can perceive love clearly enough
libri_00011,i am convinced of what i say said the count,i am convinced of what i say said the count
libri_00012,it is annoyance then,it is annoyance then
libri_00013,in those very terms i even added more,in those very terms i even added more
libri_00014,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance
libri_00015,thus it is that the honor of three is saved our country's our master's and our own,thus it is that the honor of three is saved our country our masters and our own
libri_00016,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man
libri_00017,but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,but in this friendly pressure ral could detect the nervous agitation of a great internal conflict
libri_00018,the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,the night was clear starlet and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere
libri_00019,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones
libri_00020,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,bragylon watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit
libri_00021,goliath makes another discovery,goliath makes another discovery
libri_00022,they were certainly no nearer the solution of their problem,they were certainly no near the solution of their problem
libri_00023,the poor little things cried cynthia think of them having been turned to the wall all these years,the poor little things cried cynthia think of them having been turned to the wall all these years
libri_00024,now what was the sense of it two innocent babies like that,now what is the sense of it two innocent babies like that
libri_00025,but joyce had not been listening all at once she put down her candle on the table and faced her companion,but joyce had not been listening all at once she put down her candle on the table and faced her companion
libri_00026,the twin brother did something she didn't like and she turned his picture to the wall,the twin brother did something she didn't like and she turned his picture to the wall
libri_00027,hers happened to be in the same frame too but she evidently didn't care about that,hers happened to be on the same frame too but she evidently didn't care about it
libri_00028,now what have you to say cynthia sprague,now what have you to say cynthia spragu
libri_00029,i thought we were stumped again when i first saw that picture but it's been of some use after all,i thought we were stumped again when i first saw that picture but it 's been of some use after all
libri_00030,do you suppose the miniature was a copy of the same thing,do you suppose the miniature was a copy of the same thing
libri_00031,what in the world is that queried joyce,what in the world is it queried joyce
libri_00032,they worry me terribly and besides i'd like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,they worry me terribly and besides i'd like to see what this lovely furniture looks like without such quan tities of dust all over it good scheme sin
libri_00033,we'll come in here this afternoon with old clothes on and have a regular house cleaning,will come in here this afternoon with old clothes on and have a regular house cleaning
libri_00034,it can't hurt anything i'm sure for we won't disturb things at all,it can't hurt anything i'm sure for we won't disturb things at all
libri_00035,this thought however did not enter the heads of the enthusiastic pair,this thought however did not enter the heads of the enthusiastic pair
libri_00036,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit
libri_00037,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia's delight when she caught sight of him,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthia's delight when she caught sight of him
libri_00038,oh let him come along she urged i do love to see him about that old house,oh let him come along she urged i do love to see him about that old house
libri_00039,he makes it sort of cozier,he  makes it sort of cosier
libri_00040,now let's dust the furniture and pictures,now let's dust the furniture and pictures
libri_00041,yet little as it was it had already made a vast difference in the aspect of the room,yet little as it was it had already made a vast difference in the aspect of the room
libri_00042,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish
libri_00043,then she suddenly remarked,then she suddenly remarked
libri_00044,and my pocket money is getting low again and you haven't any left as usual,and my pocket money is getting low again and you haven't any left as usual
libri_00045,they say illumination by candle light is the prettiest in the world,they say illumination by candlelight is the prettiest in the world
libri_00046,why it's goliath as usual they both cried peering in,why it's goliath as usual they both cried peering in
libri_00047,isn't he the greatest for getting into odd corners,isn't he the greatest for getting into odd corners
libri_00048,forgetting all their weariness they seized their candles and scurried through the house finding an occasional paper tucked away in some odd corner,forgetting all their weariness they seized their candles and scurried through the house finding on occasional paper tucked away in some odd corner
libri_00049,well i'm convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,well i'm convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later
libri_00050,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality
libri_00051,i heard a noise behind i turned and saw kaffar his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,i heard a noise behind i turned and saw kaffir his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me
libri_00052,onward said a distant voice,onward said a distant voice
libri_00053,no sound broke the stillness of the night,no sound broke the stillness of the night
libri_00054,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said
libri_00055,what was that,what was that
libri_00056,what then a human hand large and shapely appeared distinctly on the surface of the pond,what then a human hand large and shapely appear distinctly on the surface of the pond
libri_00057,nothing more not even the wrist to which it might be attached,nothing more not even the wrisk to which it might be attached
libri_00058,it did not beckon or indeed move at all it was as still as the hand of death,it did not beckon or indeed move at all it was as still as the hand of death
libri_00059,i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffar,i awoke to consciousness fighting at first it seemed as if i was fighting with the phantom but gradually my opponent became more real to me it was kaffir
libri_00060,a sound of voices a flash of light,a sound of voices a flash of light
libri_00061,a feeling of freedom and i was awake where,a feeling of freedom and i was awake where
libri_00062,said another voice which i recognized as voltaire's kaffar,said another voice which i recognized as voltares caffir
libri_00063,i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand
libri_00064,in the light of the moon i saw a knife red with blood and my hand too was also discoloured,in the light of the moon i saw a knife red with blood and my hand too was also discolored
libri_00065,i do not know i am dazed bewildered,i do not know i am dazed bewildered
libri_00066,but that is kaffar's knife,but that is caffir's knife
libri_00067,i know he had it this very evening,i know he had it this very evening
libri_00068,i remember saying have we been together,i remembered saying have we been together
libri_00069,voltaire picked up something from the ground and looked at it,wolcherr picked up something from the ground and looked at it
libri_00070,i say you do know what this means and you must tell us,i say you do know what this means and you must tell us
libri_00071,a terrible thought flashed into my mind,a terrible thought flashed into my mind
libri_00072,i had again been acting under the influence of this man's power,i had again been acting under the influence of this man's power
libri_00073,perchance too kaffar's death might serve him in good stead,perchance too kaffir's death might serve him in good stead
