clean_name,singer_id,technique,group,gt_lyrics,asr_hypothesis,wer,per
EN-Tenor-1__pharyngeal__control__0002,EN-Tenor-1,pharyngeal,control,i'm falling <SP> in all the good times i find myself longing for change <AP>,i'm falling in all the good times i find myself for longing for change,0.07692307692307693,0.06976744186046512
EN-Tenor-1__pharyngeal__control__0005,EN-Tenor-1,pharyngeal,control,ain't it hard keeping it so hardcore <AP> i'm falling <AP>,and the hokey pen is so hawkore i'm falling,0.6666666666666666,0.46875
EN-Tenor-1__pharyngeal__control__0004,EN-Tenor-1,pharyngeal,control,aren't you tired tryna fill that void <SP> or do you need more <AP>,i'm too tired tryna fill the void oh don't you need more,0.4166666666666667,0.32432432432432434
EN-Tenor-1__pharyngeal__control__0001,EN-Tenor-1,pharyngeal,control,or do you need more is there something else you're searching for <SP>,oh do you need more is there something else you're searching for,0.08333333333333333,0.05405405405405406
EN-Tenor-1__pharyngeal__control__0000,EN-Tenor-1,pharyngeal,control,tell me something girl are you happy in this modern world <SP>,tell me something girl are you happy in this modern world,0.0,0.0
EN-Tenor-1__pharyngeal__control__0003,EN-Tenor-1,pharyngeal,control,and in the bad times i fear myself <AP> tell me something boy <AP>,ending the bad times i fear myself tell me something boy,0.16666666666666666,0.05405405405405406
EN-Tenor-1__pharyngeal__control__0006,EN-Tenor-1,pharyngeal,control,in all the good times i find myself longing for change <AP> and in the bad times i fear myself,in all the good times i find myself alone for change in the bad times i fear myself,0.10526315789473684,0.13333333333333333
EN-Tenor-1__pharyngeal__technique__0002,EN-Tenor-1,pharyngeal,technique,i'm falling <AP> in all the good times i find myself longing for change <AP>,i'm falling in all the good times i find myself for longing for change,0.07692307692307693,0.06976744186046512
EN-Tenor-1__pharyngeal__technique__0005,EN-Tenor-1,pharyngeal,technique,ain't it hard keeping it so hardcore <AP> i'm falling,and the hokey pen is so hawkore i'm falling,0.6666666666666666,0.46875
EN-Tenor-1__pharyngeal__technique__0004,EN-Tenor-1,pharyngeal,technique,aren't you tired tryna fill that void or do you need more <AP>,i'm too tired tryna fill the void oh don't you need more,0.4166666666666667,0.32432432432432434
EN-Tenor-1__pharyngeal__technique__0001,EN-Tenor-1,pharyngeal,technique,or do you need more <AP> is there something else you're searching for,oh do you need more is there something else you're searching for,0.08333333333333333,0.05405405405405406
EN-Tenor-1__pharyngeal__technique__0000,EN-Tenor-1,pharyngeal,technique,tell me something girl <AP> are you happy in this modern world <AP>,tell me something girl are you happy in this modern world,0.0,0.0
EN-Tenor-1__pharyngeal__technique__0003,EN-Tenor-1,pharyngeal,technique,and in the bad times i fear myself <AP> tell me something boy <AP>,ending the bad times i fear myself tell me something boy,0.16666666666666666,0.05405405405405406
EN-Tenor-1__pharyngeal__technique__0006,EN-Tenor-1,pharyngeal,technique,in all the good times i find myself longing <AP> for change <AP> and in the bad times i fear myself,in all the good times i find myself alone for change in the bad times i fear myself,0.10526315789473684,0.13333333333333333
EN-Tenor-1__pharyngeal__control__0002,EN-Tenor-1,pharyngeal,control,there is no fear now <AP> let go and just be free <AP>,i'm falling in all the good times i find myself for longing for change,1.2727272727272727,1.3793103448275863
EN-Tenor-1__pharyngeal__control__0001,EN-Tenor-1,pharyngeal,control,i will love you unconditionally <AP>,oh do you need more is there something else you're searching for,2.4,1.5454545454545454
EN-Tenor-1__pharyngeal__control__0000,EN-Tenor-1,pharyngeal,control,unconditional <SP> unconditionally <AP>,tell me something girl are you happy in this modern world,5.5,1.24
EN-Tenor-1__pharyngeal__control__0003,EN-Tenor-1,pharyngeal,control,i will love you <AP> unconditionally <SP>,ending the bad times i fear myself tell me something boy,2.0,1.5909090909090908
EN-Tenor-1__pharyngeal__technique__0002,EN-Tenor-1,pharyngeal,technique,there is no fear now <AP> let go and just be free <AP>,i'm falling in all the good times i find myself for longing for change,1.2727272727272727,1.3793103448275863
