clean_name,singer_id,technique,group,gt_lyrics,asr_hypothesis,wer,per
EN-Tenor-1__pharyngeal__control__0002,EN-Tenor-1,pharyngeal,control,i'm falling <SP> in all the good times i find myself longing for change <AP>,m fo lng in not a good time s i found myself o low nane fo chaned,1.0,0.4418604651162791
EN-Tenor-1__pharyngeal__control__0005,EN-Tenor-1,pharyngeal,control,ain't it hard keeping it so hardcore <AP> i'm falling <AP>,inde hockibin is so hocor am fo ln,1.0,0.59375
EN-Tenor-1__pharyngeal__control__0004,EN-Tenor-1,pharyngeal,control,aren't you tired tryna fill that void <SP> or do you need more <AP>,uncho tina china filda wd o dounimo,1.0,0.6756756756756757
EN-Tenor-1__pharyngeal__control__0001,EN-Tenor-1,pharyngeal,control,or do you need more is there something else you're searching for <SP>,oh do o na m be there some day as yo searching fo,0.8333333333333334,0.5405405405405406
EN-Tenor-1__pharyngeal__control__0000,EN-Tenor-1,pharyngeal,control,tell me something girl are you happy in this modern world <SP>,tommy som de anger o you happy an de smal on wod,0.9090909090909091,0.5277777777777778
EN-Tenor-1__pharyngeal__control__0003,EN-Tenor-1,pharyngeal,control,and in the bad times i fear myself <AP> tell me something boy <AP>,in in a bat times i fear myself tell me something boy,0.25,0.10810810810810811
EN-Tenor-1__pharyngeal__control__0006,EN-Tenor-1,pharyngeal,control,in all the good times i find myself longing for change <AP> and in the bad times i fear myself,in nother good times i fon mysellf a lona for chant in linger bat times i fee myself,0.5789473684210527,0.36666666666666664
EN-Tenor-1__pharyngeal__technique__0002,EN-Tenor-1,pharyngeal,technique,i'm falling <AP> in all the good times i find myself longing for change <AP>,m fo laa in nother good times i found myself a lonay fo chant,0.7692307692307693,0.3953488372093023
EN-Tenor-1__pharyngeal__technique__0005,EN-Tenor-1,pharyngeal,technique,ain't it hard keeping it so hardcore <AP> i'm falling,on de hacky beness o hharcoor aam fo laaaang,1.0,0.59375
EN-Tenor-1__pharyngeal__technique__0004,EN-Tenor-1,pharyngeal,technique,aren't you tired tryna fill that void or do you need more <AP>,unc yo tire chan o fithar who ite o do o ne mo,1.0,0.6486486486486487
EN-Tenor-1__pharyngeal__technique__0001,EN-Tenor-1,pharyngeal,technique,or do you need more <AP> is there something else you're searching for,o do e ne ma e thar something als so searching fo,0.75,0.4864864864864865
EN-Tenor-1__pharyngeal__technique__0000,EN-Tenor-1,pharyngeal,technique,tell me something girl <AP> are you happy in this modern world <AP>,tell me something go are you happy an a smart onwod,0.45454545454545453,0.2777777777777778
EN-Tenor-1__pharyngeal__technique__0003,EN-Tenor-1,pharyngeal,technique,and in the bad times i fear myself <AP> tell me something boy <AP>,and min the bad times i fear mysellf tell me something by,0.25,0.10810810810810811
EN-Tenor-1__pharyngeal__technique__0006,EN-Tenor-1,pharyngeal,technique,in all the good times i find myself longing <AP> for change <AP> and in the bad times i fear myself,in otheh good tmes i found myself a lonang fo changed in in the bad times i feel myself,0.5263157894736842,0.26666666666666666
EN-Tenor-1__pharyngeal__control__0002,EN-Tenor-1,pharyngeal,control,there is no fear now <AP> let go and just be free <AP>,m fo lng in not a good time s i found myself o low nane fo chaned,1.5454545454545454,1.2758620689655173
EN-Tenor-1__pharyngeal__control__0001,EN-Tenor-1,pharyngeal,control,i will love you unconditionally <AP>,oh do o na m be there some day as yo searching fo,2.6,1.2727272727272727
EN-Tenor-1__pharyngeal__control__0000,EN-Tenor-1,pharyngeal,control,unconditional <SP> unconditionally <AP>,tommy som de anger o you happy an de smal on wod,6.0,1.16
EN-Tenor-1__pharyngeal__control__0003,EN-Tenor-1,pharyngeal,control,i will love you <AP> unconditionally <SP>,in in a bat times i fear myself tell me something boy,2.2,1.5
EN-Tenor-1__pharyngeal__technique__0002,EN-Tenor-1,pharyngeal,technique,there is no fear now <AP> let go and just be free <AP>,m fo laa in nother good times i found myself a lonay fo chant,1.2727272727272727,1.2413793103448276
EN-Tenor-1__pharyngeal__technique__0001,EN-Tenor-1,pharyngeal,technique,i will love you unconditionally <AP>,o do e ne ma e thar something als so searching fo,2.4,1.3181818181818181
EN-Tenor-1__pharyngeal__technique__0000,EN-Tenor-1,pharyngeal,technique,unconditional <AP> unconditionally <AP>,tell me something go are you happy an a smart onwod,5.5,1.28
EN-Tenor-1__pharyngeal__technique__0003,EN-Tenor-1,pharyngeal,technique,i will love you <AP> unconditionally,and min the bad times i fear mysellf tell me something by,2.2,1.5909090909090908
EN-Tenor-1__pharyngeal__control__0002,EN-Tenor-1,pharyngeal,control,vanished when i saw your face <AP> all i can say is it was <AP>,m fo lng in not a good time s i found myself o low nane fo chaned,1.2307692307692308,1.1515151515151516
EN-Tenor-1__pharyngeal__control__0007,EN-Tenor-1,pharyngeal,control,don't you let it go i'm wonderstruck <AP> dancing around all alone <AP>,dont yo let e go a mom deostra desiro na dalo,0.7272727272727273,0.5853658536585366
EN-Tenor-1__pharyngeal__control__0005,EN-Tenor-1,pharyngeal,control,i'm wonderstruck <AP> blushing all the way home <AP> i'll spend forever <AP>,in de hockibin is so ho cor am fo ln,1.0,0.8205128205128205
EN-Tenor-1__pharyngeal__control__0004,EN-Tenor-1,pharyngeal,control,this night is sparkling <AP> don't you let it go <AP>,unto thina china filda wt o dounimo,1.0,0.9310344827586207
EN-Tenor-1__pharyngeal__control__0008,EN-Tenor-1,pharyngeal,control,i'll spend forever <AP> wondering if you knew i was enchanted to meet <AP> you <SP>,a hespell far aver wandra her fill now i want thank shalla to mi yeu e  ee e,1.2307692307692308,0.7045454545454546
EN-Tenor-1__pharyngeal__control__0001,EN-Tenor-1,pharyngeal,control,same old tired lonely place <AP> walls of insincerity shifting eyes and vacancy <AP>,oh do ne m be there some day as yo searching fo,1.0,0.8909090909090909
EN-Tenor-1__pharyngeal__control__0000,EN-Tenor-1,pharyngeal,control,there i was again tonight forcing laughter faking smiles <AP>,tomme som de anger o you happy an de smal don wod,1.3333333333333333,0.9459459459459459
EN-Tenor-1__pharyngeal__control__0003,EN-Tenor-1,pharyngeal,control,enchanting to meet <AP> you <SP>,in in a bat times i fear myself tell me something boy,3.0,1.9333333333333333
EN-Tenor-1__pharyngeal__control__0006,EN-Tenor-1,pharyngeal,control,wondering if you knew <AP> this night is flawless <AP>,in nother good times i fon mysellf a lona for chant in linger ba times i fee myself,2.25,1.7777777777777777
EN-Tenor-1__pharyngeal__technique__0002,EN-Tenor-1,pharyngeal,technique,vanished when i saw your face <AP> all i can say is it was <AP>,m fo la in other good times i found myself a lonay fo chant,1.0,1.121212121212121
