clean_name,singer_id,technique,atlas_group,gt_lyrics,asr_hypothesis,wer,per
EN-Tenor-1__vibrato__control__0006,EN-Tenor-1,vibrato,control,hold me like i'm more than just a friend <AP>,hold me like i'm more than just a friend,0.0,0.0
EN-Tenor-1__vibrato__control__0001,EN-Tenor-1,vibrato,control,they've all been said before you know <AP> so why don't we <AP>,they've all been said before you know so why don't we,0.0,0.0
EN-Tenor-1__vibrato__control__0000,EN-Tenor-1,vibrato,control,<SP> i will leave <SP> my heart at the door <AP> i won't say a word <AP>,i will leave my heart at the door i won't say a word,0.0,0.0
EN-Tenor-1__vibrato__control__0007,EN-Tenor-1,vibrato,control,give me a memory i can use <AP>,give me a memory i can use,0.0,0.0
EN-Tenor-1__vibrato__control__0004,EN-Tenor-1,vibrato,control,<SP> all i ask <AP> is if <AP>,all i ask is easy,0.2,0.3
EN-Tenor-1__vibrato__control__0008,EN-Tenor-1,vibrato,control,take me by the hand while we do what lovers do <AP> it matters how this ends,take me by the hand while we do what lovers do it matters how this ends,0.0,0.0
EN-Tenor-1__vibrato__control__0003,EN-Tenor-1,vibrato,control,or scared of having <AP> nothing left look don't <AP> get me wrong i know <AP> there is no tomorrow <SP>,i'm scared of having nothing left look don't get me wrong i know there is no tomorrow,0.058823529411764705,0.037037037037037035
EN-Tenor-1__vibrato__control__0002,EN-Tenor-1,vibrato,control,just play pretend <AP> like we're not scared of what is coming next <AP>,just play pretend like we're not scared the world is coming next,0.16666666666666666,0.11363636363636363
EN-Tenor-1__vibrato__control__0005,EN-Tenor-1,vibrato,control,this is my last night with you <AP>,this is my last night with you,0.0,0.0
EN-Tenor-1__vibrato__control__0006,EN-Tenor-1,vibrato,control,hold me like i'm more than just a friend <AP>,hold me like i'm more than just a friend,0.0,0.0
EN-Tenor-1__vibrato__control__0001,EN-Tenor-1,vibrato,control,they've all been said before you know <AP> so why don't we <AP>,they've all been said before you know so why don't we,0.0,0.0
EN-Tenor-1__vibrato__control__0009,EN-Tenor-1,vibrato,control,trouble trouble trouble <AP> and the saddest fear <AP>,trouble trouble trouble in the saddest fear,0.14285714285714285,0.0625
EN-Tenor-1__vibrato__control__0000,EN-Tenor-1,vibrato,control,<SP> i will leave <SP> my heart at the door <AP> i won't say a word <AP>,i will leave my heart at the door i won't say a word,0.0,0.0
EN-Tenor-1__vibrato__control__0007,EN-Tenor-1,vibrato,control,give me a memory i can use <AP>,give me a memory i can use,0.0,0.0
EN-Tenor-1__vibrato__control__0004,EN-Tenor-1,vibrato,control,<SP> all i ask <AP> is if <AP>,all i ask is easy,0.2,0.3
EN-Tenor-1__vibrato__control__0008,EN-Tenor-1,vibrato,control,take me by the hand while we do what lovers do <AP> it matters how this ends,take me by the hand while we do what lovers do it matters how this ends,0.0,0.0
EN-Tenor-1__vibrato__control__0003,EN-Tenor-1,vibrato,control,or scared of having <AP> nothing left look don't <AP> get me wrong i know <AP> there is no tomorrow <SP>,i'm scared of having nothing left look don't get me wrong i know there is no tomorrow,0.058823529411764705,0.037037037037037035
EN-Tenor-1__vibrato__control__0002,EN-Tenor-1,vibrato,control,just play pretend <AP> like we're not scared of what is coming next <AP>,just play pretend like we're not scared the world is coming next,0.16666666666666666,0.11363636363636363
EN-Tenor-1__vibrato__control__0010,EN-Tenor-1,vibrato,control,comes creeping in that you never loved me <SP> or her <AP> or anyone <AP> or anything,comes creeping in that you'll never love me or her or anyone or anything,0.14285714285714285,0.0425531914893617
EN-Tenor-1__vibrato__control__0005,EN-Tenor-1,vibrato,control,this is my last night with you <AP>,this is my last night with you,0.0,0.0
EN-Tenor-1__vibrato__control__0006,EN-Tenor-1,vibrato,control,hold me like i'm more than just a friend <AP>,hold me like i'm more than just a friend,0.0,0.0
EN-Tenor-1__vibrato__control__0001,EN-Tenor-1,vibrato,control,they've all been said before you know <AP> so why don't we <AP>,they've all been said before you know so why don't we,0.0,0.0
EN-Tenor-1__vibrato__control__0009,EN-Tenor-1,vibrato,control,trouble trouble trouble <AP> and the saddest fear <AP>,trouble trouble trouble in the saddest fear,0.14285714285714285,0.0625
EN-Tenor-1__vibrato__control__0000,EN-Tenor-1,vibrato,control,<SP> i will leave <SP> my heart at the door <AP> i won't say a word <AP>,i will leave my heart at the door i won't say a word,0.0,0.0
EN-Tenor-1__vibrato__control__0007,EN-Tenor-1,vibrato,control,give me a memory i can use <AP>,give me a memory i can use,0.0,0.0
EN-Tenor-1__vibrato__control__0004,EN-Tenor-1,vibrato,control,<SP> all i ask <AP> is if <AP>,all i ask is easy,0.2,0.3
EN-Tenor-1__vibrato__control__0008,EN-Tenor-1,vibrato,control,take me by the hand while we do what lovers do <AP> it matters how this ends,take me by the hand while we do what lovers do it matters how this ends,0.0,0.0
EN-Tenor-1__vibrato__control__0003,EN-Tenor-1,vibrato,control,or scared of having <AP> nothing left look don't <AP> get me wrong i know <AP> there is no tomorrow <SP>,i'm scared of having nothing left look don't get me wrong i know there is no tomorrow,0.058823529411764705,0.037037037037037035
EN-Tenor-1__vibrato__control__0002,EN-Tenor-1,vibrato,control,just play pretend <AP> like we're not scared of what is coming next <AP>,just play pretend like we're not scared the world is coming next,0.16666666666666666,0.11363636363636363
EN-Tenor-1__vibrato__control__0010,EN-Tenor-1,vibrato,control,comes creeping in that you never loved me <SP> or her <AP> or anyone <AP> or anything,comes creeping in that you'll never love me or her or anyone or anything,0.14285714285714285,0.0425531914893617
EN-Tenor-1__vibrato__control__0005,EN-Tenor-1,vibrato,control,this is my last night with you <AP>,this is my last night with you,0.0,0.0
EN-Tenor-1__vibrato__control__0006,EN-Tenor-1,vibrato,control,hold me like i'm more than just a friend <AP>,hold me like i'm more than just a friend,0.0,0.0
EN-Tenor-1__vibrato__control__0001,EN-Tenor-1,vibrato,control,they've all been said before you know <AP> so why don't we <AP>,they've all been said before you know so why don't we,0.0,0.0
EN-Tenor-1__vibrato__control__0012,EN-Tenor-1,vibrato,control,when you look at me <AP> and the whole world fades <AP>,when you look at me and the whole world fades,0.0,0.0
EN-Tenor-1__vibrato__control__0013,EN-Tenor-1,vibrato,control,i'll always <AP> remember us this way,i always remember us this way,0.16666666666666666,0.09523809523809523
EN-Tenor-1__vibrato__control__0009,EN-Tenor-1,vibrato,control,trouble trouble trouble <AP> and the saddest fear <AP>,trouble trouble trouble in the saddest fear,0.14285714285714285,0.0625
EN-Tenor-1__vibrato__control__0000,EN-Tenor-1,vibrato,control,<SP> i will leave <SP> my heart at the door <AP> i won't say a word <AP>,i will leave my heart at the door i won't say a word,0.0,0.0
EN-Tenor-1__vibrato__control__0007,EN-Tenor-1,vibrato,control,give me a memory i can use <AP>,give me a memory i can use,0.0,0.0
EN-Tenor-1__vibrato__control__0011,EN-Tenor-1,vibrato,control,remember us <AP> this way <AP> way <AP>,remember us this way way,0.0,0.0
EN-Tenor-1__vibrato__control__0004,EN-Tenor-1,vibrato,control,<SP> all i ask <AP> is if <AP>,all i ask is easy,0.2,0.3
EN-Tenor-1__vibrato__control__0008,EN-Tenor-1,vibrato,control,take me by the hand while we do what lovers do <AP> it matters how this ends,take me by the hand while we do what lovers do it matters how this ends,0.0,0.0
EN-Tenor-1__vibrato__control__0003,EN-Tenor-1,vibrato,control,or scared of having <AP> nothing left look don't <AP> get me wrong i know <AP> there is no tomorrow <SP>,i'm scared of having nothing left look don't get me wrong i know there is no tomorrow,0.058823529411764705,0.037037037037037035
EN-Tenor-1__vibrato__control__0002,EN-Tenor-1,vibrato,control,just play pretend <AP> like we're not scared of what is coming next <AP>,just play pretend like we're not scared the world is coming next,0.16666666666666666,0.11363636363636363
EN-Tenor-1__vibrato__control__0010,EN-Tenor-1,vibrato,control,comes creeping in that you never loved me <SP> or her <AP> or anyone <AP> or anything,comes creeping in that you'll never love me or her or anyone or anything,0.14285714285714285,0.0425531914893617
