clean_name,singer_id,technique,group,gt_lyrics,asr_hypothesis
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,i know you will i know you will i know that you will will you still love me,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,will you still love me when i got nothing but my aching soul,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,when i'm no longer beautiful,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,will you still love me when i'm no longer young and beautiful,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,the crazy days city lights the way you'd play with me like a child,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,diamonds brilliant and bel air now,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,hot summer nights mid july when you and i were forever wild,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,i've seen the world done it all had my cake now,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__control__0006,EN-Tenor-1,mixed_falsetto,control,i know you will i know you will i know that you will will you still love me,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__control__0005,EN-Tenor-1,mixed_falsetto,control,will you still love me when i got nothing but my aching soul,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__control__0007,EN-Tenor-1,mixed_falsetto,control,when i'm no longer beautiful,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__control__0004,EN-Tenor-1,mixed_falsetto,control,will you still love me when i'm no longer young and beautiful,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__control__0003,EN-Tenor-1,mixed_falsetto,control,the crazy days city lights the way you'd play with me like a child,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__control__0001,EN-Tenor-1,mixed_falsetto,control,diamonds brilliant and bel air now,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__control__0002,EN-Tenor-1,mixed_falsetto,control,hot summer nights mid july when you and i were forever wild,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__control__0000,EN-Tenor-1,mixed_falsetto,control,i've seen the world done it all had my cake now,i've seen the world down it all have my cake now
EN-Tenor-1__mixed_falsetto__technique__0006,EN-Tenor-1,mixed_falsetto,technique,i know you will i know you will i know that you will will you still love me,i know you will i know you will i know that you will will you still love me
EN-Tenor-1__mixed_falsetto__technique__0005,EN-Tenor-1,mixed_falsetto,technique,will you still love me when i got nothing but my aching soul,will you still love me when i got nothing but my aching soul
EN-Tenor-1__mixed_falsetto__technique__0007,EN-Tenor-1,mixed_falsetto,technique,when i'm no longer beautiful,when i'm no longer beautiful
EN-Tenor-1__mixed_falsetto__technique__0004,EN-Tenor-1,mixed_falsetto,technique,will you still love me when i'm no longer young and beautiful,will you still love me when i'm no longer young and beautiful
EN-Tenor-1__mixed_falsetto__technique__0003,EN-Tenor-1,mixed_falsetto,technique,the crazy days city lights the way you'd play with me like a child,the crazy days city lights the way you play with me like a child
EN-Tenor-1__mixed_falsetto__technique__0001,EN-Tenor-1,mixed_falsetto,technique,diamonds brilliant and bel air now,diamonds brilliant and bare now
EN-Tenor-1__mixed_falsetto__technique__0002,EN-Tenor-1,mixed_falsetto,technique,hot summer nights mid july when you and i were forever wild,oh summer nights mid july when you and i were forever wild
EN-Tenor-1__mixed_falsetto__technique__0000,EN-Tenor-1,mixed_falsetto,technique,i've seen the world done it all had my cake now,i've seen the world down it all have my cake now
