corpus_stem,singer,style,song,group,utt_id,MFA Only,SOFA,gain_sofa_vs_mfa_ms
EN-Alto-1_Breathy_all is found_Breathy_Group_0000,EN-Alto-1,Breathy,all is found,Breathy_Group,0000,56.15789473684206,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0001,EN-Alto-1,Breathy,all is found,Breathy_Group,0001,55.58823529411759,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0002,EN-Alto-1,Breathy,all is found,Breathy_Group,0002,69.50000000000003,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0003,EN-Alto-1,Breathy,all is found,Breathy_Group,0003,152.3333333333333,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0004,EN-Alto-1,Breathy,all is found,Breathy_Group,0004,66.37999999999992,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0005,EN-Alto-1,Breathy,all is found,Breathy_Group,0005,68.47619047619048,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0006,EN-Alto-1,Breathy,all is found,Breathy_Group,0006,51.18749999999997,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0007,EN-Alto-1,Breathy,all is found,Breathy_Group,0007,95.87499999999997,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0008,EN-Alto-1,Breathy,all is found,Breathy_Group,0008,63.99999999999996,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0009,EN-Alto-1,Breathy,all is found,Breathy_Group,0009,264.6111111111111,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0010,EN-Alto-1,Breathy,all is found,Breathy_Group,0010,33.19999999999995,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0011,EN-Alto-1,Breathy,all is found,Breathy_Group,0011,138.38461538461527,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0012,EN-Alto-1,Breathy,all is found,Breathy_Group,0012,21.50000000000006,,
EN-Alto-1_Breathy_all is found_Breathy_Group_0013,EN-Alto-1,Breathy,all is found,Breathy_Group,0013,275.4166666666667,,
EN-Alto-1_Breathy_all is found_Control_Group_0000,EN-Alto-1,Breathy,all is found,Control_Group,0000,23.4333333333333,,
EN-Alto-1_Breathy_all is found_Control_Group_0001,EN-Alto-1,Breathy,all is found,Control_Group,0001,53.75714285714287,,
EN-Alto-1_Breathy_all is found_Control_Group_0002,EN-Alto-1,Breathy,all is found,Control_Group,0002,33.94736842105257,,
EN-Alto-1_Breathy_all is found_Control_Group_0003,EN-Alto-1,Breathy,all is found,Control_Group,0003,93.64999999999995,,
EN-Alto-1_Breathy_all is found_Control_Group_0004,EN-Alto-1,Breathy,all is found,Control_Group,0004,56.60344827586215,,
EN-Alto-1_Breathy_all is found_Control_Group_0005,EN-Alto-1,Breathy,all is found,Control_Group,0005,27.024999999999988,,
EN-Alto-1_Breathy_all is found_Control_Group_0006,EN-Alto-1,Breathy,all is found,Control_Group,0006,46.449999999999946,,
EN-Alto-1_Breathy_all is found_Control_Group_0007,EN-Alto-1,Breathy,all is found,Control_Group,0007,30.305555555555557,,
EN-Alto-1_Breathy_all is found_Control_Group_0008,EN-Alto-1,Breathy,all is found,Control_Group,0008,29.833333333333325,,
EN-Alto-1_Breathy_all is found_Control_Group_0009,EN-Alto-1,Breathy,all is found,Control_Group,0009,37.000000000000014,,
