clean_name,singer_id,technique,group,gt_lyrics,asr_hypothesis,wer,per
EN-Tenor-1__mixed_falsetto__speech__0006,EN-Tenor-1,mixed_falsetto,speech,i know you will i know you will i know that you will will you still love me,i know you will i know you will i know that you will while you still love me,0.05555555555555555,0.024390243902439025
EN-Tenor-1__mixed_falsetto__speech__0005,EN-Tenor-1,mixed_falsetto,speech,will you still love me when i got nothing but my aching soul,where you still love me when i got nothing but my aching soul,0.07692307692307693,0.05263157894736842
EN-Tenor-1__mixed_falsetto__speech__0007,EN-Tenor-1,mixed_falsetto,speech,when i'm no longer beautiful,winam no longer beautiful,0.4,0.1
EN-Tenor-1__mixed_falsetto__speech__0004,EN-Tenor-1,mixed_falsetto,speech,will you still love me when i'm no longer young and beautiful,where you still love me when i'm no longer young and beautiful,0.08333333333333333,0.05
EN-Tenor-1__mixed_falsetto__speech__0003,EN-Tenor-1,mixed_falsetto,speech,the crazy days city lights the way you'd play with me like a child,the crazy days city lides the way you'd play with me like a child,0.07142857142857142,0.04878048780487805
EN-Tenor-1__mixed_falsetto__speech__0001,EN-Tenor-1,mixed_falsetto,speech,diamonds brilliant and bel air now,diamonds bridiant in the bale air now,0.6666666666666666,0.24
EN-Tenor-1__mixed_falsetto__speech__0002,EN-Tenor-1,mixed_falsetto,speech,hot summer nights mid july when you and i were forever wild,whole summer night med july when you and i were forever wild,0.25,0.10526315789473684
EN-Tenor-1__mixed_falsetto__speech__0000,EN-Tenor-1,mixed_falsetto,speech,i've seen the world done it all had my cake now,afsing the word don ido had my cake now,0.5454545454545454,0.35714285714285715
EN-Tenor-1__mixed_falsetto__speech__0010,EN-Tenor-1,mixed_falsetto,speech,in the shallow shallow in the shallow shallow shallow,in the sallow in the sallow,0.5555555555555556,0.5
EN-Tenor-1__mixed_falsetto__speech__0006,EN-Tenor-1,mixed_falsetto,speech,i'm falling in all the good times i find myself longing,i know you will i know you will i know that you will while you still love me,1.5454545454545454,1.0
EN-Tenor-1__mixed_falsetto__speech__0005,EN-Tenor-1,mixed_falsetto,speech,or do you need more ain't it hard keeping it so hardcore,where you still love me when i got nothing but my aching soul,1.0833333333333333,0.8918918918918919
EN-Tenor-1__mixed_falsetto__speech__0007,EN-Tenor-1,mixed_falsetto,speech,for change and in the bad times i fear myself,winam no longer beautiful,1.0,0.8387096774193549
EN-Tenor-1__mixed_falsetto__speech__0004,EN-Tenor-1,mixed_falsetto,speech,tell me something boy aren't you tired tryna fill that void,where you still love me when i'm no longer young and beautiful,1.0909090909090908,0.9210526315789473
EN-Tenor-1__mixed_falsetto__speech__0003,EN-Tenor-1,mixed_falsetto,speech,for change and in the bad times i fear myself,the crazy days city lides the way you'd play with me like a child,1.3,1.096774193548387
EN-Tenor-1__mixed_falsetto__speech__0001,EN-Tenor-1,mixed_falsetto,speech,or do you need more is there something you're searching,diamonds bridiant in the bale air now,1.0,0.8387096774193549
EN-Tenor-1__mixed_falsetto__speech__0002,EN-Tenor-1,mixed_falsetto,speech,for i'm falling in all the good times i find myself longing,whole summer night med july when you and i were forever wild,0.9166666666666666,0.9487179487179487
EN-Tenor-1__mixed_falsetto__speech__0008,EN-Tenor-1,mixed_falsetto,speech,i'm off the deep end watch as i dive in i'll never meet the ground,i'm off the deep hend what has i diving i'l never me the ground,0.4666666666666667,0.15384615384615385
EN-Tenor-1__mixed_falsetto__speech__0009,EN-Tenor-1,mixed_falsetto,speech,crash through the surface where they can't hurt us we're far from the shallow now,cra throug the serveys where they kinned hur us we are far from the shallow now,0.4666666666666667,0.26666666666666666
EN-Tenor-1__mixed_falsetto__speech__0011,EN-Tenor-1,mixed_falsetto,speech,in the shallow shallow we're far from the shallow now,in the shadow we are far from the shadow now,0.4,0.3448275862068966
EN-Tenor-1__mixed_falsetto__speech__0000,EN-Tenor-1,mixed_falsetto,speech,tell me something girl are you happy in this modern world,afsing the word don ido had my cake now,1.0,0.8888888888888888
EN-Tenor-1__mixed_falsetto__speech__0005,EN-Tenor-1,mixed_falsetto,speech,you were my town now i'm in exile seeing you out i think i've seen this film before so i'm leaving out the side door,where you still love me when i got nothing but my aching soul,0.96,0.8260869565217391
EN-Tenor-1__mixed_falsetto__speech__0004,EN-Tenor-1,mixed_falsetto,speech,you're not my homeland anymore so what am i defending now,were you still love me when iam no longer young and beautiful,1.0909090909090908,0.8974358974358975
EN-Tenor-1__mixed_falsetto__speech__0003,EN-Tenor-1,mixed_falsetto,speech,i think i've seen this film before and i didn't like the ending,the crazy days city lides the way you'd play with me like a child,1.0,0.8809523809523809
EN-Tenor-1__mixed_falsetto__speech__0001,EN-Tenor-1,mixed_falsetto,speech,laughing but the joke's not funny at all and it took you five whole minutes,diamonds bridiant in the bale air now,1.0,0.851063829787234
EN-Tenor-1__mixed_falsetto__speech__0002,EN-Tenor-1,mixed_falsetto,speech,to pack us up and leave me with it holding all this love out here in the hall,whole summer night med july when you and i were forever wild,1.0,0.8958333333333334
EN-Tenor-1__mixed_falsetto__speech__0000,EN-Tenor-1,mixed_falsetto,speech,i can see you standing honey with his arms around your body,afsing the word don ido had my cake now,1.0,0.875
EN-Tenor-1__mixed_falsetto__speech__0006,EN-Tenor-1,mixed_falsetto,speech,now i'm lying on the cold hard ground trouble trouble trouble,i know you will i know you will i know that you will while you still love me,1.6363636363636365,0.9069767441860465
EN-Tenor-1__mixed_falsetto__speech__0005,EN-Tenor-1,mixed_falsetto,speech,so shame on me now flew me to places i'd never been,where you still love me when i got nothing but my aching soul,1.0,1.0606060606060606
EN-Tenor-1__mixed_falsetto__speech__0007,EN-Tenor-1,mixed_falsetto,speech,trouble trouble trouble and the saddest fear comes creeping in that you never loved me or her or anyone or anything,winam no longer beautiful,1.0,0.9113924050632911
EN-Tenor-1__mixed_falsetto__speech__0004,EN-Tenor-1,mixed_falsetto,speech,till you put me down oh i knew you were trouble when you walked in,where you still love me when i'm no longer young and beautiful,0.9333333333333333,0.8421052631578947
EN-Tenor-1__mixed_falsetto__speech__0003,EN-Tenor-1,mixed_falsetto,speech,i knew you were trouble when you walked in so shame on me now flew me to places i'd never been,the crazy days city lides the way you'd play with me like a child,0.9523809523809523,0.8947368421052632
EN-Tenor-1__mixed_falsetto__speech__0001,EN-Tenor-1,mixed_falsetto,speech,you found me you found me i guess you didn't care and i guess i liked that and when i fell hard you took a step back without me without me,diamonds bridiant in the bale air now,1.0,0.8505747126436781
EN-Tenor-1__mixed_falsetto__speech__0002,EN-Tenor-1,mixed_falsetto,speech,without me and he's long gone when he's next to me and i realize the blame is on me,whole summer night med july when you and i were forever wild,0.8421052631578947,0.8181818181818182
EN-Tenor-1__mixed_falsetto__speech__0000,EN-Tenor-1,mixed_falsetto,speech,once upon a time a few mistakes ago i was in your sights you got me alone you found me,afsing the word don ido had my cake now,1.0,0.8448275862068966
EN-Tenor-1__mixed_falsetto__speech__0006,EN-Tenor-1,mixed_falsetto,speech,a bloodstain i knew you tried to change the ending peter losing wendy,i know you will i know you will i know that you will while you still love me,1.2307692307692308,0.8666666666666667
EN-Tenor-1__mixed_falsetto__speech__0005,EN-Tenor-1,mixed_falsetto,speech,but now i'm bleeding cause i knew you stepping on the last train marked me like,where you still love me when i got nothing but my aching soul,1.0,0.8571428571428571
EN-Tenor-1__mixed_falsetto__speech__0007,EN-Tenor-1,mixed_falsetto,speech,vintage tee brand new phone high heels on cobblestones,winam no longer beautiful,1.0,0.8333333333333334
EN-Tenor-1__mixed_falsetto__speech__0004,EN-Tenor-1,mixed_falsetto,speech,was all we needed you drew stars around my scars,where you still love me when i'm no longer young and beautiful,1.2,1.0606060606060606
EN-Tenor-1__mixed_falsetto__speech__0003,EN-Tenor-1,mixed_falsetto,speech,you put me on and said i was your favorite to kiss in cars and downtown bars,the crazy days city lides the way you'd play with me like a child,1.0,0.9038461538461539
EN-Tenor-1__mixed_falsetto__speech__0001,EN-Tenor-1,mixed_falsetto,speech,i knew you your heartbeat on the high line once in twenty lifetimes,diamonds bridiant in the bale air now,0.9230769230769231,0.8372093023255814
EN-Tenor-1__mixed_falsetto__speech__0002,EN-Tenor-1,mixed_falsetto,speech,and when i felt like i was an old cardigan under someone's bed,whole summer night mid july when you and i were forever wild,1.0,0.8409090909090909
EN-Tenor-1__mixed_falsetto__speech__0008,EN-Tenor-1,mixed_falsetto,speech,when you are young they assume you know nothing sequin smile black lipstick,i'm off the deep hend what has i diving i'l never me the ground,1.0769230769230769,0.9347826086956522
EN-Tenor-1__mixed_falsetto__speech__0009,EN-Tenor-1,mixed_falsetto,speech,sensual politics when you are young they assume you know nothing,cra throug the serveys where they kinned hur us we are far from the shallow now,1.4545454545454546,1.048780487804878
EN-Tenor-1__mixed_falsetto__speech__0000,EN-Tenor-1,mixed_falsetto,speech,but i knew you playing hide and seek and giving me your weekends,afsing the word don ido had my cake now,1.0,0.8333333333333334
EN-Tenor-1__mixed_falsetto__speech__0006,EN-Tenor-1,mixed_falsetto,speech,but someday i might someday i might,i know you will i know you will i know that you will whele you still love me,2.2857142857142856,1.7619047619047619
